"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-6-9","6,009.58","5,968.70","6,017.28","5,960.11","127.55K","0.73%"
"2023-6-8","5,966.15","5,971.72","5,992.97","5,922.39","108.98K","-0.35%"
"2023-6-7","5,987.01","5,982.31","6,010.03","5,969.16","93.60K","0.06%"
"2023-6-6","5,983.42","6,088.66","6,089.07","5,969.29","123.05K","-1.86%"
"2023-6-5","6,097.11","6,102.13","6,107.12","6,075.59","115.75K","-0.13%"
"2023-6-2","6,105.22","6,061.91","6,115.07","6,061.91","122.31K","0.89%"
"2023-6-1","6,051.46","6,028.80","6,094.24","6,008.27","126.25K","0.06%"
"2023-5-31","6,047.80","6,044.02","6,063.19","6,009.25","117.48K","-0.22%"
"2023-5-30","6,061.31","6,008.46","6,061.31","5,960.34","127.31K","0.60%"
"2023-5-29","6,025.16","6,046.54","6,058.92","6,012.40","125.14K","-0.16%"
"2023-5-26","6,034.98","5,983.14","6,045.13","5,953.88","106.38K","0.78%"
"2023-5-25","5,988.19","6,000.22","6,028.64","5,926.20","109.92K","-0.29%"
"2023-5-24","6,005.79","6,032.69","6,058.39","5,988.03","107.22K","-0.77%"
"2023-5-23","6,052.43","6,114.21","6,117.36","6,052.43","111.10K","-1.03%"
"2023-5-22","6,115.31","6,111.84","6,136.86","6,086.23","112.72K","-0.03%"
"2023-5-19","6,117.08","6,116.84","6,149.14","6,085.04","119.31K","-0.18%"
"2023-5-18","6,128.18","6,132.52","6,153.99","6,101.24","122.94K","0.10%"
"2023-5-17","6,122.05","6,097.98","6,137.02","6,090.88","107.27K","0.18%"
"2023-5-16","6,110.83","6,159.17","6,159.17","6,095.69","121.84K","-0.79%"
"2023-5-15","6,159.39","6,094.68","6,159.39","6,036.81","149.84K","1.11%"
"2023-5-12","6,091.65","6,138.94","6,173.91","6,088.22","140.41K","-1.02%"
"2023-5-11","6,154.47","6,185.67","6,190.39","6,151.07","146.07K","-0.31%"
"2023-5-10","6,173.81","6,167.13","6,199.16","6,137.15","175.45K","-0.13%"
"2023-5-9","6,181.98","6,242.66","6,274.90","6,177.65","224.39K","-1.07%"
"2023-5-8","6,248.58","6,202.68","6,259.69","6,200.15","202.72K","0.77%"
"2023-5-5","6,200.58","6,255.70","6,256.23","6,172.69","178.26K","-0.99%"
"2023-5-4","6,262.39","6,223.23","6,264.52","6,218.78","202.49K","0.34%"
"2023-4-28","6,241.24","6,151.64","6,245.55","6,151.64","167.88K","1.35%"
"2023-4-27","6,157.94","6,127.64","6,190.25","6,121.61","143.14K","0.26%"
"2023-4-26","6,142.15","6,095.13","6,178.17","6,093.20","152.17K","0.39%"
"2023-4-25","6,118.15","6,205.62","6,208.40","6,042.64","162.46K","-1.46%"
"2023-4-24","6,208.78","6,250.96","6,260.54","6,184.71","147.70K","-0.67%"
"2023-4-21","6,250.54","6,411.51","6,411.51","6,250.54","162.31K","-2.51%"
"2023-4-20","6,411.76","6,408.81","6,413.08","6,376.35","150.50K","-0.08%"
"2023-4-19","6,416.97","6,444.87","6,456.15","6,404.99","148.70K","-0.51%"
"2023-4-18","6,449.85","6,448.76","6,462.25","6,422.05","143.47K","-0.15%"
"2023-4-17","6,459.24","6,422.87","6,459.24","6,421.39","168.82K","0.44%"
"2023-4-14","6,431.07","6,420.31","6,444.89","6,390.92","145.30K","0.41%"
"2023-4-13","6,404.65","6,438.16","6,451.79","6,396.02","156.20K","-0.60%"
"2023-4-12","6,443.44","6,415.70","6,450.35","6,407.20","149.45K","0.35%"
"2023-4-11","6,420.88","6,405.63","6,421.49","6,381.06","142.40K","0.16%"
"2023-4-10","6,410.52","6,474.94","6,476.22","6,395.37","145.13K","-0.83%"
"2023-4-7","6,464.47","6,418.26","6,470.09","6,416.68","127.97K","0.74%"
"2023-4-6","6,416.85","6,387.23","6,428.72","6,382.03","144.06K","0.12%"
"2023-4-4","6,408.90","6,414.82","6,423.31","6,377.53","157.49K","-0.08%"
"2023-4-3","6,413.81","6,346.69","6,419.87","6,346.69","163.92K","1.17%"
"2023-3-31","6,339.82","6,284.85","6,343.23","6,282.14","129.49K","0.85%"
"2023-3-30","6,286.18","6,257.64","6,287.44","6,213.97","123.22K","0.41%"
"2023-3-29","6,260.55","6,285.95","6,294.29","6,239.94","131.55K","-0.31%"
"2023-3-28","6,279.92","6,314.58","6,331.56","6,272.72","139.16K","-0.50%"
"2023-3-27","6,311.60","6,304.48","6,320.66","6,265.01","144.67K","0.02%"
"2023-3-24","6,310.10","6,312.43","6,315.68","6,279.54","141.02K","0.07%"
"2023-3-23","6,305.76","6,253.58","6,305.76","6,245.98","129.18K","0.57%"
"2023-3-22","6,269.74","6,244.36","6,271.52","6,242.16","128.27K","0.56%"
"2023-3-21","6,234.68","6,171.89","6,235.01","6,171.28","123.03K","1.21%"
"2023-3-20","6,160.35","6,195.35","6,201.97","6,152.81","145.58K","-0.37%"
"2023-3-17","6,183.18","6,174.19","6,233.75","6,169.84","137.11K","0.69%"
"2023-3-16","6,140.83","6,191.30","6,209.97","6,133.83","127.63K","-1.35%"
"2023-3-15","6,224.64","6,210.93","6,254.49","6,210.93","112.95K","0.57%"
"2023-3-14","6,189.40","6,237.73","6,243.42","6,127.69","121.20K","-0.89%"
"2023-3-13","6,245.00","6,189.98","6,245.00","6,178.67","108.01K","0.65%"
"2023-3-10","6,204.90","6,251.56","6,261.33","6,202.61","108.05K","-1.29%"
"2023-3-9","6,285.95","6,311.04","6,311.34","6,258.45","92.69K","-0.25%"
"2023-3-8","6,301.52","6,264.43","6,303.71","6,258.32","98.70K","0.27%"
"2023-3-7","6,284.30","6,389.81","6,396.54","6,284.22","137.93K","-1.73%"
"2023-3-6","6,395.22","6,398.10","6,405.82","6,362.47","126.85K","0.08%"
"2023-3-3","6,390.32","6,384.06","6,398.47","6,346.96","123.24K","0.13%"
"2023-3-2","6,382.23","6,398.26","6,410.23","6,375.01","125.35K","-0.31%"
"2023-3-1","6,402.14","6,356.50","6,410.52","6,340.00","123.91K","0.70%"
"2023-2-28","6,357.54","6,323.84","6,357.54","6,293.18","96.60K","0.80%"
"2023-2-27","6,307.21","6,318.64","6,349.09","6,288.30","101.08K","-0.53%"
"2023-2-24","6,340.84","6,367.63","6,372.49","6,308.22","96.96K","-0.31%"
"2023-2-23","6,360.32","6,377.29","6,396.66","6,328.64","116.07K","-0.23%"
"2023-2-22","6,375.07","6,352.03","6,397.15","6,344.99","109.08K","-0.13%"
"2023-2-21","6,383.42","6,349.91","6,396.74","6,337.60","141.83K","0.59%"
"2023-2-20","6,346.07","6,248.26","6,349.41","6,227.35","140.33K","1.74%"
"2023-2-17","6,237.41","6,284.92","6,308.57","6,237.41","117.21K","-0.83%"
"2023-2-16","6,289.48","6,384.21","6,429.05","6,244.48","168.39K","-1.49%"
"2023-2-15","6,384.35","6,398.87","6,407.75","6,365.31","115.91K","-0.20%"
"2023-2-14","6,397.21","6,394.62","6,408.55","6,369.57","124.67K","0.21%"
"2023-2-13","6,383.83","6,333.22","6,386.72","6,331.37","131.57K","0.78%"
